# players4cams.py working for a while
# $ sudo vcdbg reloc - returns:

Relocatable heap version 4 found at 0x2f000000
total space allocated is 236M, with 234M relocatable, 2.3M legacy and 0 offline
1 legacy blocks of size 2359296

free list at 0x3d97c840
173M free memory in 5 free block(s)
largest free block is 173M bytes

0x2f000000: legacy block 2.3M
0x2f240000: free 173M
[ 391] 0x3b615060: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b615080, d1ruAl) 'RIL buffer'
[ 118] 0x3b6290a0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b6290c0, d1ruAl) 'RIL buffer'
[  12] 0x3b63d0e0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b63d100, d1ruAl) 'RIL buffer'
[ 239] 0x3b651120: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b651140, d1ruAl) 'RIL buffer'
[ 228] 0x3b665160: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b665180, d1ruAl) 'RIL buffer'
[  30] 0x3b6791a0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b6791c0, d1ruAl) 'RIL buffer'
[ 725] 0x3b68d1e0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b68d200, d1ruAl) 'RIL buffer'
[ 615] 0x3b6a1220: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b6a1240, d1ruAl) 'RIL buffer'
[ 130] 0x3b6b5260: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b6b5280, d1ruAl) 'RIL buffer'
[ 614] 0x3b6c92a0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b6c92c0, d1ruAl) 'RIL buffer'
[ 386] 0x3b6dd2e0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b6dd300, d1ruAl) 'RIL buffer'
[ 324] 0x3b6f1320: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b6f1340, d1ruAl) 'RIL buffer'
[ 621] 0x3b705360: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b705380, d1ruAl) 'RIL buffer'
[ 559] 0x3b7193a0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b7193c0, d1ruAl) 'RIL buffer'
[ 325] 0x3b72d3e0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b72d400, d1ruAl) 'RIL buffer'
[  28] 0x3b741420: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b741440, d1ruAl) 'RIL buffer'
[ 117] 0x3b755460: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b755480, d1ruAl) 'RIL buffer'
[  78] 0x3b7694a0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3b7694c0, d1ruAl) 'RIL buffer'
