Relocatable heap version 4 found at 0x2f000000
total space allocated is 236M, with 234M relocatable, 2.3M legacy and 0 offline
1 legacy blocks of size 2359296

free list at 0x3d97d260
183M free memory in 6 free block(s)
largest free block is 183M bytes

0x2f000000: legacy block 2.3M
0x2f240000: free 183M
[ 329] 0x3b73f0a0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b73f0c0, d3ruAl) 'RIL buffer'
[ 247] 0x3b7470e0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b747100, d3ruAl) 'RIL buffer'
[ 344] 0x3b74f120: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b74f140, d3ruAl) 'RIL buffer'
[ 335] 0x3b757160: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b757180, d3ruAl) 'RIL buffer'
[  12] 0x3b75f1a0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b75f1c0, d3ruAl) 'RIL buffer'
[ 340] 0x3b7671e0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b767200, d3ruAl) 'RIL buffer'
[ 317] 0x3b76f220: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b76f240, d3ruAl) 'RIL buffer'
[ 316] 0x3b777260: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b777280, d3rual) 'RIL buffer'
[ 315] 0x3b77f2a0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b77f2c0, d3ruAl) 'RIL buffer'
[ 314] 0x3b7872e0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b787300, d3ruAl) 'RIL buffer'
[ 313] 0x3b78f320: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b78f340, d3ruAl) 'RIL buffer'
[ 312] 0x3b797360: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b797380, d3ruAl) 'RIL buffer'
[ 311] 0x3b79f3a0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b79f3c0, d3ruAl) 'RIL buffer'
[ 310] 0x3b7a73e0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b7a7400, d3ruAl) 'RIL buffer'
[ 309] 0x3b7af420: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b7af440, d3ruAl) 'RIL buffer'
[ 308] 0x3b7b7460: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b7b7480, d3ruAl) 'RIL buffer'
[ 337] 0x3b7bf4a0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b7bf4c0, d3ruAl) 'RIL buffer'
[ 339] 0x3b7c74e0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b7c7500, d3ruAl) 'RIL buffer'
[ 304] 0x3b7cf520: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b7cf540, d3ruAl) 'RIL buffer'
[ 303] 0x3b7d7560: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b7d7580, d3ruAl) 'RIL buffer'
[ 302] 0x3b7df5a0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b7df5c0, d3ruAl) 'RIL buffer'
[ 301] 0x3b7e75e0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x3b7e7600, d3ruAl) 'RIL buffer'
